name,year,director,writer,star
Stir Crazy,1980,Sidney Poitier,Bruce Jay Friedman,Gene Wilder
Cruising,1980,William Friedkin,William Friedkin,Al Pacino
Heaven's Gate,1980,Michael Cimino,Michael Cimino,Kris Kristofferson
The Final Countdown,1980,Don Taylor,Thomas Hunter,Kirk Douglas
Xanadu,1980,Robert Greenwald,Richard Christian Danus,Olivia Newton-John
Urban Cowboy,1980,James Bridges,Aaron Latham,John Travolta
Altered States,1980,Ken Russell,Paddy Chayefsky,William Hurt
Little Darlings,1980,Ron Maxwell,Kimi Peck,Tatum O'Neal
Raise the Titanic,1980,Jerry Jameson,Adam Kennedy,Jason Robards
Brubaker,1980,Stuart Rosenberg,W.D. Richter,Robert Redford
